Sequence ID,Wormbase ID,Category 1,Category 2,Category 3
C43E11.1,WBGene00016601,Apoptosis,Apoptosis,Apoptosis
F46F3.4,WBGene00000146,Apoptosis,Apoptosis,Apoptosis
K04C2.4,WBGene00000265,Apoptosis,Apoptosis,Apoptosis
C11E4.6,WBGene00007520,Apoptosis,Apoptosis,Apoptosis
C24A1.3,WBGene00016030,Apoptosis,Apoptosis,Apoptosis
C33A11.2,WBGene00007878,Apoptosis,Apoptosis,Apoptosis
F58G11.6,WBGene00010283,Apoptosis,Apoptosis,Apoptosis
Y47H9C.4,WBGene00000415,Apoptosis,Apoptosis,Apoptosis
Y106G6E.5,WBGene00000426,Apoptosis,Apoptosis,Apoptosis
R09F10.9,WBGene00000427,Apoptosis,Apoptosis,Apoptosis
C48D1.2,WBGene00000417,Apoptosis,Apoptosis,Apoptosis
C35D10.9,WBGene00000418,Apoptosis,Apoptosis,Apoptosis
C02F4.1,WBGene00000419,Apoptosis,Apoptosis,Apoptosis
F56D2.7,WBGene00000420,Apoptosis,Apoptosis,Apoptosis
C48B4.4,WBGene00000421,Apoptosis,Apoptosis,Apoptosis
T07C4.8,WBGene00000423,Apoptosis,Apoptosis,Apoptosis
Y47G6A.8,WBGene00000794,Apoptosis,Apoptosis,Apoptosis
CD4.2,WBGene00000795,Apoptosis,Apoptosis,Apoptosis
C14A4.4,WBGene00000796,Apoptosis,Apoptosis,Apoptosis
AH9.2,WBGene00000797,Apoptosis,Apoptosis,Apoptosis
C14A4.5,WBGene00000798,Apoptosis,Apoptosis,Apoptosis
K04H4.6,WBGene00000799,Apoptosis,Apoptosis,Apoptosis
F57B10.10,WBGene00000896,Apoptosis,Apoptosis,Apoptosis
C14A4.2,WBGene00000933,Apoptosis,Apoptosis,Apoptosis
C14F5.1,WBGene00015776,Apoptosis,Apoptosis,Apoptosis
H06H21.9,WBGene00019165,Apoptosis,Apoptosis,Apoptosis
C27A2.3,WBGene00002068,Apoptosis,Apoptosis,Apoptosis
C16A3.3,WBGene00002850,Apoptosis,Apoptosis,Apoptosis
