Sequence ID,Wormbase ID,Category 1,Category 2,Category 3,Description
F56C11.1,WBGene00000253,Cuticle,Cuticle: collagen,Cuticle: collagen,"bli-3 encodes an NADPH oxidases of the dual oxidase (DUOX) variety that contains an N-terminal peroxidase domain, two central calmodulin-binding EF hands, and a C-terminal superoxide-generating NADPH-oxidase domain; BLI-3 is required for dityrosine cross-linking of collagen, and thus for cuticular integrity; BLI-3 is thought to use cytosolic NADPH to generate reactive oxygen, which then drives the peroxidase ectodomain to cross-link free tyrosine in collagen; BLI-3 is expressed exclusively in hypodermal cells at low levels, with peaks of expression corresponding to collagen/cuticle biosynthesis."
F56C11.3,WBGene00018955,Unknown,Unknown,Unknown,"F56C11.3 is an ortholog of human GFER (growth factor, augmenter of liver regeneration); F56C11.3 is predicted to have thiol oxidase activity, based on protein domain information; F56C11.3 is expressed in the pharynx, reproductive system, and the body wall musculature."
F53G12.3,WBGene00018771,Signaling,Signaling: calcium,Signaling: calcium: EF hand,Signaling: calcium: EF hand
R119.3,WBGene00020089,Metabolism,Metabolism: other,Metabolism: other,"R119.3 is an ortholog of human DHRS4 (dehydrogenase/reductase 4), DHRS4L2 (dehydrogenase/reductase 4 like 2) and DHRS2 (dehydrogenase/reductase 2); RNA sequencing and microarray studies indicate that R119.3 is affected by Rotenone, Cry5B, Quercetin, Humic substances, and Paraquat; RNA sequencing studies indicate that R119.3 is enriched in the germ line."
F47G6.2,WBGene00018579,Metabolism,Metabolism: lipid,Metabolism: lipid: fatty acid,"acs-16 is an ortholog of human ACSF2 (acyl-CoA synthetase family member 2); acs-16 is predicted to have catalytic activity, based on protein domain information."
W03F11.2,WBGene00001542,Signaling,Signaling: heteromeric G protein,Signaling: heteromeric G protein: guanylyl cyclase,gcy-17 encodes a predicted guanylate cyclase.
F23C8.5,WBGene00017734,Metabolism,Metabolism: mitochondria,Metabolism: mitochondria: other,"The F23C8.5 gene encodes an ortholog of the human gene ELECTRON TRANSFER FLAVOPROTEIN BETA SUBUNIT (ETFB), which when mutated leads to glutaricaciduria type IIB (OMIM:130410)."
Y23H5A.7,WBGene00000800,Non-translated RNA,Non-translated RNA: tRNA,Non-translated RNA: tRNA: production,"cars-1 encodes a predicted cytoplasmic cysteinyl-tRNA synthetase (CysRS), a class I aminoacyl-tRNA synthetase that catalyzes the attachment of cysteine to its cognate tRNA and is thus required for protein biosynthesis; CARS-1 is essential for embryonic and larval development, and is required for molting and a normal rate of postembryonic development."
W03D8.8,WBGene00020989,Metabolism,Metabolism: lipid,Metabolism: lipid: beta oxidation,"W03D8.8 is an ortholog of human BAAT (bile acid-CoA:amino acid N-acyltransferase) and members of the ACOT (Acyl-CoA thioesterases) family including ACOT4; RNA sequencing and microarray studies indicate that W03D8.8 is affected by eat-2, csr-1, daf-2, daf-16, npr-1, cox-5B, hyl-2, hsf-1, dpy-21, mir-34, pgl-1, pgl-3, glh-4, glh-1, emb-4, hcf-1, sir-2.1, and tdp-1; RNA sequencing and microarray studies indicate that W03D8.8 is affected by Methylmercury hydroxide, Methylmercuric chloride, D-glucose, Cry5B, Colistin, Dafa#1, and adsorbable organic bromine compounds; RNA sequencing studies indicate that W03D8.8 is enriched in the intestine and male."
W10C8.5,WBGene00021128,Metabolism,Metabolism: creatine kinase,Metabolism: creatine kinase,"W10C8.5 is an ortholog of human CKMT2 (creatine kinase, mitochondrial 2), CKM (creatine kinase, M-type), CKB (creatine kinase B) and CKMT1B (creatine kinase, mitochondrial 1B); W10C8.5 is predicted to have kinase activity, based on protein domain information."
